GeneSymbol	A21_05_C3_P5_690140	A21_05_C3_P5_868918	A21_05_C3_P5_530187	A21_05_C3_P5_474185
FGD4	0.000	0.000	0.000	0.000
FGD6	0.000	0.000	0.000	0.000
FGF1	0.000	0.642	0.000	0.000
FGF18	0.000	0.000	0.417	0.000
FGF2	0.000	0.000	0.710	0.000
FGF5	0.000	0.000	0.417	0.917
FGF7	0.335	0.642	0.710	0.560
FHAD1	0.000	0.000	0.000	0.000
FHL1	0.000	0.642	0.000	0.560
FHL2	0.000	0.000	1.411	0.917
FIBCD1	0.335	0.000	0.000	0.560
FIBIN	0.335	0.372	0.710	0.560
FILIP1	0.000	0.000	0.000	0.000
FILIP1L	0.335	0.000	0.000	0.000
FJX1	0.000	0.000	0.000	0.000
FKBP14	0.785	1.620	0.710	0.000
FKBP4	0.585	0.000	0.417	0.000
FMN2	0.000	0.000	0.000	0.000
FMO1	0.000	1.030	0.000	1.179
FMO2	0.000	0.000	0.000	0.000
FMO3	0.000	0.000	0.000	0.000
FMOD	0.000	0.000	0.000	0.000
FN1	4.693	3.984	4.230	4.536
FNDC1	0.000	0.000	0.000	0.000
FNDC5	0.000	0.000	0.000	0.000
FOS	0.000	0.372	1.411	0.917
FOSB	0.000	0.000	0.000	0.560
FOSL1	0.000	0.000	0.000	0.000
FOSL2	0.000	0.372	1.900	0.917
FOXC2	0.335	0.000	0.000	0.000
FOXD1	0.000	0.000	0.000	0.000
FOXF1	0.000	0.000	0.000	0.000
FOXF2	0.000	0.000	0.000	0.000
FOXM1	0.000	0.000	0.000	0.000
FOXO1	0.000	0.000	0.000	0.000
FOXP1	0.335	0.000	0.417	1.179
FOXQ1	0.000	0.000	0.000	0.000
FOXS1	0.000	0.000	0.000	0.000
FRAS1	0.000	0.000	0.000	0.000
FREM1	0.000	0.000	0.000	0.000
FRMD6	0.785	1.706	1.121	1.387
FRMPD4	0.000	0.000	0.000	0.000
FRRS1L	0.000	0.000	0.000	0.000
FSIP2	0.000	0.000	0.000	0.000
FST	0.000	0.642	0.000	0.000
FSTL1	1.682	2.706	2.472	2.376
FSTL5	0.000	0.000	0.000	0.000
FTH1	3.503	3.099	3.145	2.863
FTH1P10	1.095	0.000	0.710	0.000
FTL	3.229	3.425	3.167	2.725
FUBP1	0.000	0.000	0.936	0.000
FUS	1.095	1.179	0.417	1.179
FYB1	0.000	0.000	0.000	0.000
FZD1	0.335	0.372	1.121	1.179
FZD3	0.000	0.000	0.000	0.000
FZD7	0.000	1.030	0.000	1.179
FZD8	0.000	0.000	0.000	0.000
G0S2	0.000	0.000	0.000	0.000
G2E3	0.000	0.000	0.000	0.000
G3BP1	0.952	1.030	0.417	0.560
GABPB1-AS1	0.335	0.000	0.000	0.560
GABRB2	0.000	0.000	0.000	0.000
GABRB3	0.000	0.000	0.000	0.000
GADD45A	0.952	0.372	0.000	0.000
GADD45B	0.000	0.000	0.710	0.000
GAL	0.000	0.000	0.000	0.000
GALNT1	0.952	0.855	0.936	0.917
GALNT15	0.335	0.000	0.710	0.000
GALNT5	0.335	0.372	0.710	0.560
GALNT6	0.335	0.372	0.000	0.000
GAP43	0.000	0.000	0.000	0.000
GAS1	0.000	0.000	0.417	0.560
GAS2L3	0.000	0.000	0.000	0.000
GAS6	0.952	0.372	1.276	0.560
GAS7	0.335	0.000	0.417	0.000
GATA6	0.000	0.000	0.000	0.560
GATM	0.000	0.000	0.000	0.000
GBP1	0.335	0.372	0.936	0.560
GCLM	0.785	0.000	0.000	0.000
GDF15	2.236	0.372	0.000	0.000
GDF6	0.000	0.000	0.000	0.000
GDNF	0.952	0.000	0.000	0.000
GEN1	0.000	0.000	0.000	0.000
GFPT2	1.220	1.424	1.636	1.833
GFRA1	0.000	0.000	0.000	0.000
GGH	0.335	0.372	0.000	0.000
GINS1	0.000	0.372	0.000	0.000
GINS2	0.000	0.000	0.000	0.000
GINS4	0.000	0.000	0.000	0.000
GJA1	1.682	1.706	1.411	1.179
GJB2	0.000	0.000	0.000	0.000
GLDN	0.000	0.000	0.000	0.000
GLIPR1	0.785	1.030	1.411	0.000
GLIS2	0.335	0.372	0.000	0.000
GLS	0.952	1.030	0.417	0.000
GMNN	0.000	0.000	0.000	0.000
GNL3	0.335	0.642	0.417	0.000
GNPNAT1	0.000	0.000	0.000	0.560
GPAM	0.000	0.372	0.000	0.560
GPAT2	0.000	0.000	0.000	0.000
GPAT3	0.000	0.000	0.000	0.000
GPATCH4	0.000	0.000	0.000	0.000
GPC3	0.000	0.000	0.000	0.000
GPC4	0.000	0.000	0.000	0.000
GPC6	1.220	1.030	1.732	1.387
GPNMB	0.000	0.855	0.710	0.560
GPR65	0.000	0.000	0.000	0.000
GPR68	0.585	0.000	0.000	0.000
GPSM2	0.000	0.642	0.417	0.000
GPX3	0.335	0.642	0.417	0.000
GRB14	0.000	0.000	0.000	0.000
GREB1L	0.000	0.000	0.000	0.000
GREM1	0.335	2.819	2.043	1.179
GREM2	0.000	0.000	0.000	0.000
GRIA1	0.000	0.000	0.000	0.000
GRIN2A	0.000	0.000	0.000	0.000
GRPEL1	0.335	0.000	0.000	0.000
GTPBP4	0.335	0.000	0.417	0.917
GTSE1	0.000	0.000	0.000	0.000
GUCY1A1	0.000	0.372	0.000	0.000
GUCY1A2	0.000	0.000	0.000	0.000
GUCY1B1	0.000	0.372	0.000	0.000
H19	0.000	2.469	1.974	2.376
H1F0	0.585	0.000	0.936	0.000
H2AFX	0.000	0.372	0.000	0.000
H2AFY2	0.000	0.000	0.000	0.000
H2AFZ	0.585	0.855	0.936	1.179
HAS1	0.000	0.000	0.710	0.000
HAS2	0.585	0.855	2.043	0.560
HAT1	0.000	0.000	0.417	0.000
HAUS6	0.335	0.000	0.000	0.000
HBEGF	0.000	0.000	0.000	0.000
HCG14	0.000	0.000	0.000	0.000
HCLS1	0.000	0.000	0.000	0.000
HDGF	1.753	1.620	1.530	1.387
HEG1	0.000	0.642	0.936	0.917
HELLS	0.000	0.000	0.000	0.000
HERC5	0.000	0.000	0.000	0.000
HES1	0.000	0.372	0.000	0.000
HES6	0.000	0.000	0.000	0.000
HEXD-IT1	0.000	0.000	0.000	0.000
HEYL	0.000	0.000	0.000	0.000
HFM1	0.000	0.000	0.000	0.000
HGF	0.000	1.179	1.974	1.179
HHIP	0.000	0.000	0.417	0.000
HIF1A	0.785	0.642	1.276	0.917
HIST1H1A	0.000	0.000	0.000	0.000
HIST1H1B	0.000	0.000	0.000	0.000
HIST1H1D	0.000	0.000	0.000	0.000
HIST1H2AC	1.522	0.000	0.417	0.000
HIST1H4C	0.000	0.000	0.000	0.560
HJURP	0.000	0.000	0.000	0.000
HK2	0.585	0.372	0.000	0.000
HLA-B	2.356	1.620	1.974	1.179
HMCN1	0.000	0.000	0.000	0.917
HMGA1	1.431	0.855	1.530	1.947
HMGA2	1.220	0.372	0.936	1.833
HMGB1	0.952	0.642	1.276	1.559
HMGB2	0.000	0.642	0.417	0.917
HMGB3	0.585	0.372	0.000	0.000
HMGCR	0.000	0.000	0.000	0.560
HMGCS1	0.000	0.000	0.710	0.000
HMGN2	1.820	1.620	0.710	1.947
HMMR	0.000	0.000	0.000	0.000
HMOX1	0.585	0.642	0.000	0.000
HNRNPA2B1	1.522	1.857	1.900	1.559
HNRNPA3	1.095	0.642	0.417	0.917
HNRNPA3P1	0.000	0.000	0.000	0.000
HNRNPAB	0.952	0.372	0.710	0.560
HNRNPD	0.335	0.372	0.936	0.560
HNRNPDL	0.785	0.372	1.121	0.000
HNRNPH3	0.000	0.000	0.417	0.000
HNRNPM	0.335	0.000	0.936	1.179
HOXA10	0.335	0.372	0.000	0.560
HOXA5	0.000	0.372	0.000	0.000
HOXA9	0.000	0.000	0.000	0.000
HOXB-AS3	0.000	0.000	0.000	0.000
HOXB5	0.585	0.372	0.710	0.000
HOXB6	0.000	0.000	0.000	0.000
HOXB8	0.335	0.642	1.121	0.560
HOXC10	0.000	1.179	0.936	0.917
HOXC8	1.095	0.855	1.276	0.000
HOXD1	0.000	0.000	0.000	0.000
HS3ST3A1	0.335	0.000	0.000	0.000
HSP90AA1	2.619	2.105	2.281	2.303
HSP90AB1	1.882	1.620	2.108	2.141
HSP90B1	3.000	3.099	3.145	2.773
HSPA1A	0.000	0.000	0.417	0.000
HSPA1B	0.335	0.372	0.710	0.000
HSPA4L	0.585	0.000	0.000	0.000
HSPA5	2.192	1.309	1.636	2.303
HSPA8	1.753	1.620	1.636	1.179
HSPA9	0.952	0.372	0.417	0.560
HSPB6	2.463	1.925	2.472	2.443
HSPB7	0.000	0.000	0.000	0.000
HSPD1	1.331	0.855	1.121	1.559
HSPE1	0.335	0.372	0.417	0.000
HSPH1	0.952	0.642	1.121	0.560
HTR2A	0.000	0.000	0.417	0.000
HTR7	0.000	0.000	0.000	0.000
HTRA1	1.605	2.257	2.226	2.225
HTRA3	0.000	0.372	0.000	0.000
HUNK	0.000	0.000	0.417	0.000
HYDIN	0.335	0.000	0.000	0.000
HYLS1	0.335	0.000	0.000	0.000
HYOU1	0.785	0.000	0.710	0.560
ICAM1	0.000	0.000	0.000	0.000
ICAM4	0.000	0.000	0.000	0.000
ID1	0.335	0.000	0.000	0.000
ID2	0.335	0.000	0.417	0.000
ID3	0.000	0.000	0.000	0.000
ID4	0.000	0.000	0.000	0.000
IDI1	0.000	0.642	0.417	0.560
IER2	0.000	0.372	0.000	0.000
IER3	0.000	0.372	1.530	0.000
IER5L	0.335	0.372	1.121	0.917
IFI27	0.335	0.000	0.936	0.560
IFI44L	0.000	0.000	0.417	0.000
IFI6	1.220	1.309	2.556	0.560
IFIH1	0.000	0.000	0.000	0.000
IFIT1	0.000	0.372	0.000	0.000
IFIT2	0.000	0.000	0.000	0.560
IFIT3	0.000	0.372	0.000	0.000
IGF1	0.000	0.372	0.000	0.000
IGF2BP1	0.000	0.000	0.000	0.000
IGF2BP3	0.000	0.372	0.417	0.917
IGFBP3	0.000	0.000	0.000	0.000
IGFBP4	2.147	2.921	2.332	2.225
IGFBP5	0.000	2.969	1.974	1.559
IGFBP6	0.585	0.642	0.936	1.179
IGFBP7	0.585	1.309	0.000	1.179
IGSF10	0.000	0.000	0.000	0.000
IGSF3	0.000	0.000	0.000	0.000
IKZF2	0.000	0.000	0.000	0.000
IL10	0.000	0.000	0.000	0.000
IL13RA2	0.000	0.372	0.000	0.000
IL1R1	1.095	1.309	1.276	1.559
IL1RN	0.000	0.000	0.000	0.000
IL32	0.000	0.000	0.000	0.000
IL33	0.000	0.000	0.000	0.000
IL6	0.000	0.000	0.000	0.000
IL6R	0.000	0.000	0.000	0.000
IL7R	0.000	0.000	0.000	0.000
ILDR2	0.000	0.000	0.000	0.000
INCENP	0.000	0.000	0.000	0.000
INHBA	0.585	0.642	0.417	1.179
INPP4B	0.000	0.000	0.000	0.000
INPP5D	0.000	0.000	0.000	0.000
INSIG1	0.000	0.000	1.121	1.387
INSYN2B	0.000	0.372	0.000	0.000
IQCA1	0.000	0.000	0.000	0.000
IQGAP2	0.000	0.000	0.000	0.000
IQGAP3	0.000	0.000	0.000	0.000
IRF1	0.000	0.372	0.936	0.000
IRS2	0.000	0.000	0.000	0.000
ISG15	0.335	0.372	0.417	0.000
ISLR	0.335	1.424	1.121	2.225
ITGA1	0.000	0.000	0.000	0.560
ITGA11	0.000	0.000	0.000	0.000
ITGA2	0.585	0.372	0.417	0.000
ITGA4	0.585	0.372	0.710	0.000
ITGAX	0.000	0.000	0.000	0.000
ITGB3BP	0.000	0.642	0.417	0.000
ITGB8	0.000	0.000	0.000	0.000
ITGBL1	1.095	1.527	1.411	0.560
ITM2A	0.000	0.000	0.000	0.560
ITM2C	0.952	1.179	0.417	0.917
JAG2	0.000	0.000	0.000	0.000
JAKMIP2	0.000	0.000	0.000	0.000
JAKMIP3	0.000	0.000	0.000	0.000
JAM2	0.335	0.000	0.000	0.000
JCAD	0.585	0.000	0.417	0.000
JPT1	0.335	0.372	0.000	0.000
JPT2	0.335	0.000	0.000	0.560
JUN	0.585	1.030	1.276	1.559
JUP	0.000	0.000	0.000	0.000
KCND2	0.000	0.000	0.000	0.000
KCNE4	0.000	0.000	0.417	0.560
KCNH1	0.000	0.000	0.000	0.000
KCNJ2	0.000	0.000	0.000	0.917
KCNK2	0.000	0.000	0.710	0.000
KCNK6	0.000	0.372	0.000	0.000
KCNMA1	0.000	0.000	0.000	0.560
KCNQ1OT1	0.000	0.000	0.000	0.560
KCNQ5	0.000	0.000	0.000	0.000
KCTD12	0.585	0.855	1.974	0.917
KHDRBS3	0.000	0.000	0.417	0.000
KIAA0586	0.000	0.000	0.000	0.000
KIF11	0.000	0.000	0.000	0.000
KIF14	0.000	0.000	0.000	0.000
KIF15	0.000	0.000	0.000	0.000
KIF18A	0.000	0.000	0.000	0.000
KIF18B	0.000	0.000	0.000	0.000
KIF20A	0.000	0.000	0.000	0.000
KIF20B	0.000	0.000	0.417	0.000
KIF21A	0.000	0.000	0.000	0.000
KIF22	0.000	0.000	0.000	0.000
KIF23	0.000	0.000	0.000	0.000
KIF26A	0.000	0.000	0.000	0.000
KIF26B	0.000	0.000	0.710	0.917
KIF2C	0.000	0.000	0.000	0.000
KIF4A	0.000	0.000	0.000	0.000
KIF5B	0.785	1.424	1.636	0.917
KIFC1	0.000	0.000	0.000	0.000
KLF10	0.335	0.000	1.121	0.000
KLF17	0.000	0.000	0.000	0.000
KLF2	0.000	0.000	0.000	0.000
KLF4	0.335	0.000	0.710	0.560
KLF6	0.585	0.855	1.819	1.705
KLHL24	0.000	0.000	0.000	0.000
KLHL34	0.000	0.000	0.000	0.000
KMT5A	0.585	0.000	0.710	0.560
KNL1	0.000	0.000	0.000	0.560
KNSTRN	0.000	0.000	0.000	0.000
KNTC1	0.000	0.000	0.710	0.560
KPNA2	0.585	0.000	0.000	0.000
KPNB1	1.331	1.179	0.936	1.179
KRT17	0.000	0.000	0.000	0.000
KRT18	0.000	0.000	0.000	0.000
KRT19	0.000	0.372	0.000	0.000
KRT7	0.000	0.000	0.000	0.000
KRT8	0.000	0.000	0.000	0.560
KRTAP2-3	0.000	0.000	0.000	0.000
KYNU	0.000	0.642	0.000	0.000
L1TD1	0.000	0.000	0.000	0.000
LAG3	0.000	0.000	0.000	0.000
LAMA5	0.000	0.000	0.000	0.000
LAMC3	0.000	0.000	0.000	0.000
LBH	0.000	0.372	0.000	0.000
LBR	0.000	0.000	0.417	0.000
LCE2A	0.000	0.000	0.000	0.000
LDHA	2.049	1.925	1.819	2.048
LDLR	0.335	0.855	0.936	0.917
LEF1	0.000	0.000	0.000	0.000
LFNG	0.000	0.000	0.000	0.000
LGALS9	0.000	0.000	0.000	0.000
LGMN	0.585	0.372	0.000	0.917
LGR4	0.000	0.000	0.417	0.000
LIG1	0.000	0.000	0.000	0.000
LIMA1	1.095	1.424	0.710	1.559
LIMCH1	0.000	0.000	0.000	0.000
LIN9	0.000	0.000	0.000	0.000
LINC00517	0.000	0.000	0.000	0.000
LINC00968	0.000	0.000	0.000	0.000
LINC01133	0.000	0.000	0.000	0.000
LINC01220	0.000	0.000	0.000	0.000
LINC01305	0.000	0.000	0.000	0.000
LINC01366	0.000	0.000	0.000	0.000
LINC01503	0.000	0.372	0.417	1.179
LINC01705	0.335	0.000	0.000	0.000
LINC01829	0.000	0.000	0.000	0.000
LINC01929	0.000	0.000	0.000	0.000
LINC02256	0.000	0.000	0.000	0.000
LINC02266	0.000	0.000	0.000	0.000
LINC02458	0.000	0.000	0.000	0.000
LINC02489	0.000	0.000	0.000	0.000
LINC02544	0.000	0.000	0.000	0.000
LINC02795	0.000	0.000	0.000	0.000
LIPC	0.000	0.000	0.000	0.000
LIPG	0.000	0.000	0.417	0.000
LMCD1	0.000	0.642	0.417	0.000
LMNB1	0.000	0.000	0.000	0.000
LMNB2	0.000	0.000	0.000	0.000
LMO4	0.952	1.030	0.710	1.559
LMO7	0.785	0.000	0.000	1.179
LMOD1	0.000	0.000	0.000	0.000
LONRF2	0.000	0.000	0.000	0.000
LOX	1.682	2.611	1.276	1.833
LOXL1	0.000	0.372	0.936	0.000
LOXL2	1.682	1.620	0.710	1.179
LOXL4	0.785	0.855	0.417	0.000
LPXN	0.585	0.372	0.417	0.000
LRATD1	0.000	0.000	0.000	0.000
LRRC15	0.000	0.000	0.000	0.000
LRRC17	1.522	1.989	1.636	1.559
LRRC4	0.000	0.000	0.000	0.000
LRRC59	1.331	0.642	0.710	0.917
LRRIQ1	0.000	0.000	0.000	0.560
LRRN3	0.000	0.000	0.000	0.000
LRRN4CL	0.000	0.372	0.000	0.000
LRRTM2	0.000	0.000	0.000	0.000
LSAMP	0.000	0.000	0.000	0.000
LSM5	0.335	0.000	0.417	0.000
LSP1	0.000	0.642	0.000	1.179
LTK	0.000	0.000	0.000	0.000
LUM	1.820	2.611	2.169	2.141
LURAP1L	0.335	0.000	0.710	0.000
LXN	0.000	0.372	1.121	0.917
LYAR	0.000	0.000	0.000	0.000
LYPD1	0.000	0.000	0.000	0.000
LYPLAL1-AS1	0.000	0.000	0.000	0.000
MAB21L1	0.000	0.000	0.000	0.000
MACC1	0.000	0.000	0.000	0.000
MAD2L1	0.000	0.000	0.000	0.000
MAF	0.000	0.000	0.000	0.000
MAFB	0.585	0.855	1.276	0.000
MAGEL2	0.000	0.000	0.000	0.000
MALAT1	2.619	2.735	3.122	3.459
MALINC1	0.000	0.000	0.000	0.000
MALL	0.000	0.642	0.000	0.000
MAMLD1	0.000	0.000	0.000	0.000
MAN1C1	0.785	0.000	0.417	0.000
MANF	0.335	0.372	0.000	0.560
MAP1B	0.585	1.857	1.121	1.705
MAP2	0.000	0.000	0.000	0.000
MAP3K21	0.000	0.000	0.000	0.000
MAP3K5	0.000	0.000	0.000	0.000
MAP7D3	0.000	0.855	0.710	0.560
MARCKS	1.882	1.030	2.332	2.376
MARCKSL1	1.522	0.372	0.710	0.000
MARK1	0.000	0.000	0.000	0.000
MASP1	0.585	0.372	0.417	0.000
MASTL	0.000	0.000	0.000	0.000
MATN2	0.000	0.000	0.000	0.000
MBOAT2	0.000	0.000	0.000	0.560
MBP	0.000	0.855	0.417	0.560
MCAM	0.000	0.000	0.417	0.000
MCM10	0.000	0.000	0.000	0.000
MCM2	0.000	0.000	0.000	0.000
MCM3	0.000	0.000	0.417	0.000
MCM4	0.000	0.000	0.000	0.000
MCM5	0.000	0.000	0.000	0.560
MCM6	0.000	0.000	0.417	0.000
MCM7	0.585	0.000	0.000	0.000
MCM8	0.000	0.000	0.000	0.560
MDK	0.000	0.372	0.000	0.000
MDM2	1.431	0.000	0.417	0.560
MEDAG	0.000	0.642	0.417	0.000
MEF2C	0.000	0.000	0.000	0.000
MEG3	0.335	0.372	0.000	0.000
MELK	0.335	0.000	0.000	0.000
MEOX2	0.000	0.000	0.000	0.000
MEST	0.000	0.000	0.000	0.000
MET	0.000	0.000	0.000	0.000
MEX3A	0.000	0.372	0.000	0.000
MFAP4	0.585	1.179	1.819	0.917
MFAP5	0.952	1.620	1.530	1.833
MFGE8	0.585	0.372	0.936	1.179
MGLL	0.335	0.000	0.417	0.000
MGP	0.000	0.000	0.000	0.560
MIAT	0.000	0.000	0.417	0.000
MICAL2	0.952	1.706	0.417	1.387
MIR1244-2	1.095	0.642	1.530	2.048
MIR34AHG	0.000	0.372	0.000	0.000
MIR503HG	0.000	1.309	1.530	0.917
MIS18A	0.000	0.000	0.000	0.000
MIS18BP1	0.335	0.642	0.417	0.560
MIXL1	0.000	0.000	0.000	0.000
MKI67	0.000	0.000	0.000	0.000
MLLT11	0.000	0.372	0.000	0.000
MME	0.785	1.527	1.121	0.000
MMP1	1.220	2.506	1.636	0.000
MMP11	0.000	0.000	0.000	0.000
MMP12	0.000	0.000	0.000	0.000
MMP14	2.703	2.304	2.108	1.387
MMP16	0.000	0.000	0.000	0.917
MMP2	2.874	2.644	3.099	2.675
MMP3	0.000	0.372	0.000	0.000
MMP9	0.000	0.000	0.000	0.000
MMS22L	0.000	0.000	0.000	0.000
MN1	0.335	0.372	0.000	0.560
MND1	0.000	0.000	0.000	0.560
MNS1	0.000	0.000	0.000	0.000
MOXD1	0.335	1.030	0.710	0.560
MROH8	0.000	0.000	0.000	0.000
MRPS6	0.585	0.372	0.417	0.000
MRTO4	0.000	0.372	0.417	0.000
MRVI1	0.000	0.000	0.000	0.000
MSMO1	0.335	0.855	0.000	0.000
MSX1	0.335	0.372	0.417	0.560
MT-RNR1	3.164	3.671	2.226	3.092
MT1A	0.335	0.372	0.000	0.000
MT1E	0.335	0.855	0.936	0.560
MT1L	0.335	0.372	0.417	0.917
MT2A	1.820	2.543	1.276	2.141
MTCO1P29	0.000	0.000	0.000	0.000
MTFR2	0.000	0.000	0.000	0.000
MTHFD1	0.000	0.000	0.417	0.000
MTHFD2	0.000	0.000	0.000	0.000
MTUS1	0.000	0.000	0.000	0.000
MUC20	0.000	0.000	0.000	0.000
MX1	0.000	0.000	0.000	0.000
MX2	0.000	0.000	0.417	0.000
MXD3	0.000	0.000	0.000	0.000
MXRA5	0.000	1.179	1.411	0.917
MYADM	0.000	0.855	0.000	0.560
MYBL1	0.000	0.000	0.000	0.000
MYBL2	0.000	0.000	0.000	0.000
MYC	0.000	0.372	1.121	0.000
MYL9	1.095	2.209	0.710	0.917
MYLK	0.335	0.000	0.000	0.000
MYLPF	0.000	0.000	0.000	0.000
MYO10	0.785	0.000	0.000	0.560
MYO1B	1.997	0.855	0.710	0.560
MYO1D	0.335	0.642	0.417	0.000
MZT1	0.335	0.372	0.000	0.000
N4BP2	0.000	0.000	0.417	0.917
NAA15	0.335	0.372	0.417	0.000
NABP1	1.522	1.030	1.411	0.000
NAMPT	0.335	0.000	0.936	0.000
NAP1L3	0.000	0.000	0.000	0.000
NASP	0.000	0.372	0.417	1.387
NAT2	0.000	0.000	0.000	0.000
NAV1	0.000	0.855	1.276	0.560
NAV2	0.000	0.000	0.710	0.560
NBL1	1.331	1.309	1.411	0.000
NCAM1	0.000	0.000	0.000	0.000
NCAM2	0.335	0.372	0.000	0.917
NCAPD2	0.000	0.000	0.936	0.000
NCAPD3	0.000	0.372	0.000	0.000
NCAPG	0.000	0.000	0.000	0.560
NCAPG2	0.000	0.000	0.000	0.000
NCAPGP1	0.000	0.000	0.000	0.000
NCAPH	0.000	0.000	0.000	0.000
NCKAP5	0.335	0.000	0.000	0.000
NCL	1.682	1.179	1.121	1.179
NDC1	0.000	0.000	0.000	0.000
NDC80	0.000	0.000	0.000	0.000
NDN	0.785	0.000	0.000	0.000
NDNF	0.335	0.372	0.000	0.000
NDUFA4L2	0.335	0.000	0.000	0.000
NDUFAB1	1.095	0.642	0.417	0.000
NEAT1	1.220	1.309	1.636	1.387
NEB	0.000	0.372	0.000	0.000
NEBL	0.000	0.000	0.000	0.000
NECTIN4	0.000	0.000	0.000	0.000
NEDD1	0.335	0.642	0.000	0.000
NEDD9	0.000	0.000	0.000	0.000
NEFH	0.000	0.000	0.000	0.000
NEFL	0.000	0.000	0.000	0.000
NEFM	0.000	0.000	0.000	0.000
NEGR1	0.785	0.000	0.936	0.000
NEIL1	0.000	0.000	0.000	0.000
NEIL3	0.000	0.000	0.000	0.000
NEK2	0.000	0.000	0.000	0.000
NEK7	0.335	0.642	0.000	0.000
NES	0.000	0.000	0.417	0.000
NET1	0.585	0.855	0.936	0.560
NETO1	0.335	0.000	0.000	0.000
NETO2	0.000	0.000	0.000	0.000
NEURL1B	0.000	0.000	0.000	0.000
NEXN	0.335	0.855	0.000	0.560
NFATC2	0.000	0.000	0.000	0.000
NFIB	0.335	0.372	1.121	0.917
NFKBIA	0.000	0.000	0.000	0.000
NFKBIZ	0.000	0.000	0.710	0.560
NGEF	0.000	0.000	0.000	0.000
NGF	0.000	0.000	0.000	0.000
NGFR	0.000	0.000	0.000	0.560
NIBAN1	0.785	0.000	0.710	0.560
NIFK	0.585	0.372	0.000	0.560
NKD2	0.000	0.372	0.000	0.000
NKX3-2	0.335	0.000	0.000	0.000
NLGN1	0.000	0.000	0.000	0.000
NLN	0.000	0.000	0.000	0.000
NLRP2	0.000	0.000	0.000	0.000
NME1	2.429	0.855	0.936	0.560
NNAT	0.000	0.000	0.000	0.000
NNMT	1.095	1.706	1.411	1.179
NOC3L	0.000	0.000	0.000	0.560
NOLC1	0.585	0.372	0.417	0.000
NOP16	0.000	0.000	0.417	0.000
NOP56	0.000	0.642	0.417	0.917
NOP58	0.785	0.000	0.936	0.000
NOTCH3	0.335	0.000	0.000	0.000
NOVA2	0.000	0.000	0.000	0.000
NPAS3	0.000	0.000	0.000	0.000
NPDC1	0.000	0.000	0.417	0.560
NPR3	0.000	0.000	0.000	0.000
NPTX1	0.000	0.000	0.000	0.000
NPTXR	0.000	0.000	0.000	0.000
NR1D1	0.585	0.000	0.000	0.000
NR2F1	0.585	0.000	0.000	0.000
NR2F2	0.585	1.424	0.936	2.225
NR4A1	0.000	0.000	0.000	0.000
NREP	2.049	1.857	2.381	2.303
NRG1	0.000	0.372	0.000	0.000
NRK	0.000	0.000	0.000	0.000
NRN1	0.000	1.527	1.121	0.560
NRP2	1.220	0.000	0.417	0.000
NRXN2	0.000	0.000	0.000	0.000
NSD2	0.000	0.000	0.000	0.000
NT5DC2	1.331	0.372	1.636	1.387
NT5E	0.000	0.372	1.276	0.560
NTM	1.431	1.424	0.417	1.179
NTN4	0.000	0.000	0.417	0.560
NTNG1	0.000	0.372	0.000	0.000
NTSR1	0.000	0.000	0.000	0.000
NUAK1	0.000	0.000	0.000	0.000
NUCKS1	1.682	1.309	2.043	0.560
NUF2	0.000	0.000	0.000	0.000
NUP107	0.000	0.372	0.000	0.000
NUP50	0.335	0.372	0.417	0.000
OAS1	0.000	0.000	0.000	0.000
OAS2	0.000	0.000	0.000	0.560
OAS3	0.000	0.000	0.000	0.000
OASL	0.000	0.000	0.000	0.000
ODC1	0.000	0.000	0.000	0.000
OGFRL1	0.000	0.000	0.000	0.000
OGN	0.952	0.642	0.936	0.560
OIP5	0.000	0.000	0.000	0.000
OLFM1	0.000	0.000	0.000	0.000
OLFM2	0.000	0.000	0.000	0.000
OLFML1	0.000	0.000	0.417	0.560
OLFML2A	0.335	0.000	0.000	0.560
OLFML2B	0.335	1.030	2.556	1.947
OMD	0.000	0.000	0.000	0.560
OMG	0.000	0.000	0.000	0.000
ORC1	0.000	0.000	0.000	0.000
ORC6	0.000	0.000	0.000	0.000
OSR1	0.335	0.372	0.000	0.560
OSR2	0.000	0.372	0.000	1.179
OXTR	0.000	0.000	0.000	0.000
P2RX7	0.000	0.000	0.000	0.000
PA2G4	1.682	0.000	0.417	1.179
PAG1	0.585	0.000	0.000	0.000
PAICS	0.785	0.855	0.417	0.560
PAK3	0.000	0.000	0.000	0.000
PALLD	1.682	1.179	0.710	1.387
PALM2-AKAP2	0.335	0.372	0.000	0.000
PALMD	0.000	0.000	0.000	0.000
PAPPA	1.331	0.642	1.411	0.917
PAQR4	0.000	0.000	0.000	0.000
PARD3B	0.000	0.000	0.000	0.000
PARP2	0.000	0.642	0.000	0.000
PARPBP	0.000	0.000	0.000	0.560
PART1	0.000	0.000	0.000	0.000
PAWR	0.000	0.000	0.000	0.000
PAX6	0.000	0.000	0.000	0.000
PAX8-AS1	0.000	0.000	0.000	0.000
PBK	0.000	0.000	0.000	0.000
PCDH10	0.000	0.000	0.000	0.000
PCDH7	0.000	1.030	1.530	0.560
PCDH9	0.585	0.000	0.936	0.000
PCDHB15	0.000	0.000	0.000	0.000
PCDHB16	0.000	0.000	0.000	0.000
PCDHB5	0.000	0.000	0.000	0.000
PCLAF	0.000	0.000	0.000	0.560
PCNA	1.220	0.855	0.710	0.560
PCOLCE2	0.585	0.000	0.710	0.000
PCSK1	0.000	0.000	0.000	0.000
