GeneSymbol	A21_05_C3_P5_299466	A21_05_C3_P5_481136	A21_05_C3_P5_652329	A21_05_C3_P5_494412	A21_05_C3_P5_856756	A21_05_C3_P5_678766	A21_05_C3_P5_757592	A21_05_C3_P5_848919	A21_05_C3_P5_634645	A21_05_C3_P5_255703	A21_05_C3_P5_440336	A21_05_C3_P5_371750	A21_05_C3_P5_759161
C1QTNF3	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C1QTNF7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C1S	0.670	0.506	1.624	0.377	1.723	0.699	1.707	2.161	1.461	1.597	1.829	1.611	1.052
C1orf115	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C1orf21	0.000	0.000	0.000	0.000	0.413	0.000	0.694	0.931	0.000	0.446	0.458	0.763	0.483
C1orf226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C21orf58	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C2orf88	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C8orf89	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CA12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CABLES1	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CACNG8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CACYBP	0.276	0.285	0.000	0.000	0.705	0.409	0.918	1.114	0.743	1.179	0.771	0.763	0.808
CADPS	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
CALD1	3.573	3.444	2.876	3.029	3.241	3.124	2.711	3.355	2.487	2.712	2.580	2.900	1.976
CALM2	2.788	2.822	2.053	2.721	1.403	2.207	1.794	1.724	1.955	1.705	2.000	1.906	1.976
CALN1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CALR	3.173	2.898	2.851	2.961	3.135	3.006	2.836	3.114	3.333	2.784	2.488	2.566	2.500
CAMK2N1	0.276	0.285	0.000	0.000	0.413	0.409	0.406	0.000	0.439	0.000	0.458	0.763	0.000
CAPN6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CASS4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.483
CAV1	1.430	2.149	2.902	2.521	1.965	2.150	3.047	2.661	2.955	2.303	2.386	2.801	2.643
CAV2	0.492	0.687	0.858	0.377	0.930	0.409	0.694	0.931	0.743	0.754	0.458	0.453	0.483
CAVIN2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CBX5	0.820	0.687	0.858	0.377	0.000	1.106	0.406	0.000	0.743	0.000	0.771	0.763	1.052
CCBE1	0.000	0.000	0.000	0.000	0.000	0.409	0.406	0.000	0.000	0.754	0.000	0.000	0.808
CCDC110	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
CCDC144B	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.808
CCDC15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC152	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.808
CCDC170	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.483
CCDC173	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCDC34	0.276	0.000	0.373	0.377	0.000	0.699	0.000	0.413	0.000	0.000	0.458	0.453	0.483
CCDC80	2.950	3.669	2.997	2.445	3.488	3.146	3.071	3.441	2.532	1.802	2.146	2.765	2.878
CCDC86	0.000	0.687	0.000	0.377	0.000	0.000	0.000	0.413	0.439	0.000	0.771	0.000	0.000
CCL11	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.754	0.000	0.000	0.000
CCL2	0.000	1.091	0.000	1.798	0.000	0.000	0.000	0.413	0.000	0.446	0.000	0.000	0.000
CCL20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCL7	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCL8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCN1	1.351	2.069	1.710	2.223	1.522	1.618	2.642	1.966	2.285	1.179	3.004	2.610	2.059
CCN2	0.492	2.822	1.710	2.003	1.522	2.408	2.200	1.724	2.391	0.989	2.814	2.133	1.052
CCN3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCN4	0.276	0.000	0.373	0.000	0.000	0.000	0.406	0.413	1.324	0.000	0.458	0.453	0.000
CCN5	0.670	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNA2	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
CCNB1	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.458	0.000	0.000
CCNB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCND1	0.820	1.531	0.373	1.798	0.000	1.261	0.694	1.404	0.439	1.179	0.000	1.191	0.483
CCND2	1.351	0.000	1.183	0.377	1.891	1.395	0.000	0.000	1.165	0.446	0.458	1.489	0.000
CCNE2	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNF	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNJL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCNT2-AS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCR1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CCT2	0.820	0.841	0.645	1.041	0.000	1.106	0.694	1.114	0.743	1.179	1.362	0.763	1.052
CCT5	0.670	0.687	0.000	0.377	0.930	0.409	1.388	0.000	0.976	0.446	1.201	0.453	0.483
CD36	0.000	1.196	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CD3EAP	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.705	0.000	0.446	0.000	0.000	0.000
CD4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CD7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CD82	0.276	0.000	0.373	0.377	0.000	0.409	0.000	0.705	0.976	0.446	0.458	0.453	0.000
CDA	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC25A	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC25B	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
CDC25C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC42EP3	0.000	1.196	0.000	0.650	0.705	0.923	0.000	1.114	0.000	0.754	1.623	1.000	1.052
CDC42EP4	0.000	0.285	0.000	0.377	0.413	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
CDC45	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDC6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
CDCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
CDCA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA4	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
CDCA5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
CDCA7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCA7L	0.000	0.285	0.000	0.000	0.413	0.000	0.000	0.413	0.000	0.000	0.458	0.453	0.000
CDCA8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDCP1	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH11	1.857	1.378	2.053	1.939	2.035	2.313	1.506	2.273	1.689	2.183	2.386	1.817	2.059
CDH13	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.743	0.754	0.000	0.453	0.000
CDH18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH2	1.265	0.841	0.373	0.650	1.522	0.409	0.406	0.413	0.000	0.989	0.000	0.000	0.483
CDH23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDH4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDK1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CDK2	0.000	0.000	0.000	0.650	0.000	0.699	0.000	0.413	0.000	0.000	0.000	0.000	0.000
CDK5RAP2	0.000	0.000	0.000	0.377	0.413	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
CDK6	0.492	0.000	0.000	0.000	0.000	0.409	0.694	0.705	0.743	0.754	1.201	0.000	0.808
CDKN1A	1.265	0.000	1.034	1.190	0.930	2.261	0.406	1.892	1.689	0.754	1.362	0.000	0.000
CDKN1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.009	0.000	0.000
CDKN2A	0.670	0.506	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.989	0.000	0.453	0.000
CDKN2B	0.000	0.000	0.000	0.000	0.413	0.923	0.000	0.000	0.000	0.000	0.000	0.000	0.483
CDKN2C	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
CDKN3	0.000	0.000	0.000	0.000	0.000	0.409	0.406	0.000	0.000	0.000	0.000	0.000	0.000
CDT1	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEBPB	0.000	0.285	0.645	1.321	0.705	0.000	0.000	1.523	0.439	0.000	0.458	0.000	0.808
CEBPD	0.670	0.506	0.000	0.377	0.413	0.409	0.000	0.413	0.743	0.754	1.009	1.191	1.052
CELF2	0.276	0.000	0.373	0.377	0.413	0.409	0.000	0.413	0.000	0.754	0.000	0.763	0.483
CEMIP	0.000	0.285	0.373	1.041	0.413	0.000	0.000	1.892	1.581	0.000	0.000	1.191	0.000
CEMIP2	1.067	1.725	0.858	0.377	1.114	0.409	1.100	0.705	1.324	1.597	0.458	0.453	1.249
CENPA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPE	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
CENPF	0.000	0.000	0.000	0.000	0.705	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPH	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
CENPI	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPJ	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.439	0.000	0.000	0.000	0.483
CENPK	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
CENPM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPO	0.000	0.000	0.000	0.000	0.000	0.000	0.694	0.413	0.000	0.000	0.000	0.000	0.483
CENPQ	0.000	0.000	0.373	0.000	0.000	0.699	0.000	0.000	0.439	0.000	0.000	0.000	0.000
CENPU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CENPV	0.820	0.687	0.000	0.864	0.413	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.483
CENPW	0.000	0.000	0.000	0.650	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEP128	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.743	0.000	0.000	0.000	0.000
CEP135	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
CEP170	0.276	0.285	0.000	0.377	0.705	0.000	0.000	0.413	1.165	0.989	0.458	1.000	1.052
CEP290	0.276	0.687	0.000	0.000	1.114	0.699	0.694	0.413	0.000	1.179	0.000	0.000	0.808
CEP55	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CEP78	0.000	0.000	0.000	0.000	0.000	0.923	0.406	0.000	0.000	0.446	0.000	0.000	0.000
CFH	0.276	0.506	0.645	0.377	0.705	0.000	0.000	0.705	0.000	0.754	1.201	0.763	1.413
CFHR1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CFI	0.276	0.000	0.000	0.000	0.413	0.000	0.918	0.413	0.000	0.000	0.771	0.763	0.808
CH25H	0.000	0.000	0.373	0.864	1.269	0.699	0.406	0.705	0.000	0.000	0.458	1.000	1.886
CHAC1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHAF1A	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.483
CHAF1B	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHGA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHI3L1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHN1	1.171	1.531	1.183	1.539	1.269	0.923	1.255	1.628	1.165	1.338	1.009	1.987	1.787
CHRDL1	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRNA1	0.000	0.000	0.000	0.000	0.000	0.923	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHRNA3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHST1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CHST15	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
CILP	0.276	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.446	0.000	0.453	0.000
CILP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CIP2A	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.771	0.000	0.000
CIT	0.000	0.000	0.000	0.000	0.000	0.409	0.406	0.000	0.000	0.000	0.000	0.000	0.000
CITED2	0.276	0.841	0.373	0.000	0.413	1.106	0.918	0.413	1.581	0.000	1.201	1.906	0.000
CITED4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKAP2	0.000	0.000	0.000	0.000	0.705	0.000	0.000	0.413	0.743	0.754	0.458	0.000	0.808
CKAP2L	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKAP4	2.384	2.528	2.109	2.445	2.547	2.536	2.200	2.548	2.227	1.972	2.076	2.610	1.886
CKAP5	0.670	0.285	0.645	1.041	0.000	0.409	0.000	0.000	0.743	0.989	0.771	0.453	1.052
CKB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKS1B	0.276	0.000	0.373	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CKS2	0.276	0.000	0.373	0.377	0.000	0.409	0.000	0.413	0.439	0.000	0.771	0.000	0.000
CLCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLDN11	0.276	1.982	2.616	1.539	1.811	1.801	2.605	2.100	2.575	1.891	2.076	2.318	2.393
CLDN14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLEC2B	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.446	0.000	0.453	0.000
CLGN	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLIC2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.458	0.000	0.000
CLOCK	0.000	0.000	0.373	0.000	0.000	0.000	0.406	0.413	0.000	0.000	0.000	0.453	0.000
CLSPN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLSTN2	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLU	0.276	0.285	2.214	3.134	2.035	0.409	1.388	3.489	2.285	2.303	2.146	1.489	2.550
CMIP	0.276	0.687	0.645	1.190	0.000	0.699	0.918	0.000	0.000	0.000	0.771	0.000	0.808
CMPK2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CMSS1	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.763	0.000
CMYA5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNIH3	0.000	0.000	0.000	0.864	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
CNN3	1.695	2.387	1.993	2.272	1.269	1.395	1.100	2.036	0.976	1.802	2.000	1.489	1.413
CNTN1	0.276	0.000	0.000	0.000	0.705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNTN3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.808
CNTNAP3B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CNTRL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
COBLL1	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL10A1	1.171	0.000	0.000	0.377	0.000	0.923	0.406	0.000	0.000	0.000	0.000	0.453	0.483
COL11A1	0.000	0.687	1.710	1.539	0.413	1.395	1.100	1.404	0.000	0.754	0.771	0.763	0.000
COL12A1	1.995	1.196	2.308	1.436	2.099	1.618	1.100	2.100	2.166	1.179	2.273	2.373	1.677
COL14A1	0.000	0.000	0.373	0.000	0.413	0.000	0.406	0.413	0.439	1.179	1.201	0.000	0.483
COL15A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.808
COL1A1	6.315	6.401	5.724	6.091	6.086	6.179	5.579	5.864	5.304	5.069	5.331	5.622	5.220
COL1A2	5.581	5.410	5.043	5.177	5.119	5.322	4.904	5.188	4.855	4.553	4.466	5.009	4.546
COL22A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL25A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL3A1	4.148	4.658	4.742	4.401	5.101	4.516	4.293	4.198	4.232	4.511	4.345	4.227	4.266
COL4A1	0.000	1.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL4A2	0.000	1.196	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL4A4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL4A5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL5A1	2.546	3.049	2.474	2.521	2.992	2.613	1.948	2.273	2.227	2.459	2.535	2.835	1.976
COL5A3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL6A3	2.618	2.446	2.740	2.404	2.884	2.613	2.711	2.696	2.800	3.133	2.914	2.868	2.643
COL6A6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
COL8A1	2.038	1.887	1.313	1.041	2.035	1.881	0.694	2.036	0.743	1.705	1.009	1.000	0.483
COTL1	0.820	0.687	0.858	1.041	0.705	1.106	0.694	1.114	0.439	0.446	0.771	0.000	1.249
COX7A1	1.067	0.974	0.000	1.041	0.930	0.699	0.000	0.413	0.000	0.000	0.458	0.453	0.483
CPB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CPE	0.820	0.285	0.373	0.650	0.413	0.409	0.000	0.413	0.000	0.446	0.000	0.000	0.000
CPED1	0.000	0.506	0.000	0.000	0.000	0.000	0.406	0.705	0.976	0.446	0.000	0.453	1.052
CPM	0.000	0.000	0.645	0.000	0.705	0.000	0.406	0.413	0.439	0.989	1.009	0.763	0.808
CPXM1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
CPXM2	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CR391992.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CRABP2	1.351	0.974	1.861	2.223	2.547	1.261	1.506	2.036	2.532	1.597	1.829	2.474	2.550
CREB5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CREBRF	0.670	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.439	0.000	0.000	0.453	0.000
CREG1	0.000	0.000	0.858	0.377	0.413	0.409	0.000	0.000	0.000	0.754	0.000	0.000	0.000
CRIM1	1.265	0.974	0.000	0.864	0.705	0.000	0.000	0.705	0.000	0.446	0.000	0.000	1.249
CRIP2	0.276	0.000	0.000	0.864	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
CRISPLD2	0.276	0.285	0.645	0.000	0.000	0.000	0.000	0.705	0.439	0.000	0.458	0.763	0.808
CRYBG1	0.000	0.000	0.373	0.000	0.413	0.000	0.000	0.000	0.743	0.754	0.458	0.000	0.483
CSE1L	0.276	0.000	0.000	0.000	0.705	0.000	0.694	0.705	0.000	0.000	0.458	0.000	0.483
CSGALNACT1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
CSRNP3	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CSRP1	1.265	1.982	0.373	1.190	0.705	1.261	1.100	0.413	0.439	0.446	1.201	0.763	0.483
CSRP2	0.000	0.000	0.000	0.377	1.114	0.409	0.000	0.000	0.000	0.000	0.771	0.000	0.000
CSTA	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CT75	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CTHRC1	2.495	1.836	2.163	2.119	2.272	1.513	1.612	1.523	1.689	2.551	1.731	0.453	1.249
CTNNAL1	0.276	0.974	0.000	0.650	0.705	0.409	0.000	0.000	0.743	0.446	0.771	0.000	0.000
CTPS1	0.276	0.506	0.858	0.650	0.000	0.000	0.000	0.000	0.000	0.446	0.771	0.000	0.000
CTSC	0.670	0.841	0.373	1.539	1.403	0.000	1.388	1.523	1.165	1.179	0.458	1.351	1.787
CTSH	0.000	0.000	0.000	0.377	0.705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CTSK	0.670	0.506	0.645	1.633	2.099	0.000	1.612	1.523	1.461	1.476	1.362	1.000	1.554
CTSL	0.670	1.291	1.034	1.436	1.628	0.699	1.388	1.724	1.689	1.597	1.009	0.763	1.787
CTSO	0.000	0.506	0.645	0.000	0.930	0.699	0.694	0.000	0.743	0.446	0.000	0.453	0.808
CXCL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.754	0.000	0.453	0.000
CXCL14	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXCL6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
CXCL8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CXXC5	0.492	1.291	0.373	0.864	0.413	1.106	0.000	0.000	0.439	0.446	0.000	0.000	0.000
CYB561	0.276	0.000	0.000	0.377	0.000	0.000	0.406	0.000	0.743	0.446	0.000	0.000	0.000
CYB561A3	0.276	0.285	0.000	0.864	0.413	0.000	0.000	0.413	0.976	0.000	0.000	0.000	0.000
CYCS	1.430	1.531	0.645	1.041	0.413	1.395	0.918	0.705	0.743	0.446	1.009	0.763	1.249
CYGB	0.000	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CYP1B1	0.000	0.506	0.858	0.377	2.217	0.923	0.000	1.966	1.165	0.446	0.458	0.000	0.000
CYP26B1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
